Time (Sec),Power(W),Growth Rate (gm/sec),No. of net impurity atoms added,Number of net impurity of previous crystal added,Output net impurity,Detector grade portion (%),SheetName
29520.0,9498.0,3.56029810298103,761278195488722.0,0.0,-10228830520469.9,9.0,Crystal 2
0.0,8600.0,0.0,0.0,-439398496240602.0,158377323987.71,14.58,Crystal 3
270.0,8600.0,0.0740740740740741,0.0,-439398496240602.0,158261767052.927,14.58,Crystal 3
630.0,8600.0,0.0761904761904761,0.0,-439398496240602.0,157984750004.889,14.58,Crystal 3
990.0,8600.0,0.0656565656565657,0.0,-439398496240602.0,157610340941.667,14.58,Crystal 3
1485.0,8600.0,0.0666666666666666,0.0,-439398496240602.0,157041671171.509,14.58,Crystal 3
2880.0,8580.0,0.0215277777777778,0.0,-439398496240602.0,156686506125.159,14.58,Crystal 3
3600.0,8560.0,0.0511111111111111,0.0,-439398496240602.0,155636857747.153,14.58,Crystal 3
4320.0,8540.0,0.0655092592592593,0.0,-439398496240602.0,154035199574.303,14.58,Crystal 3
5040.0,8520.0,0.0783730158730159,0.0,-439398496240602.0,151825267597.008,14.58,Crystal 3
5760.0,8500.0,0.124305555555556,0.0,-439398496240602.0,147894349171.18,14.58,Crystal 3
6480.0,8480.0,0.154320987654321,0.0,-439398496240602.0,142562350605.883,14.58,Crystal 3
7200.0,8460.0,0.214722222222222,0.0,-439398496240602.0,134669550431.182,14.58,Crystal 3
7920.0,8460.0,0.251767676767677,0.0,-439398496240602.0,125088763886.933,14.58,Crystal 3
6480.0,8460.0,-0.603395061728395,0.0,-439398496240602.0,144514014701.219,14.58,Crystal 3
7200.0,8460.0,0.0513888888888889,0.0,-439398496240602.0,142562350605.883,14.58,Crystal 3
7920.0,8460.0,0.107323232323232,0.0,-439398496240602.0,138171187209.225,14.58,Crystal 3
8640.0,8460.0,0.126157407407407,0.0,-439398496240602.0,132724039150.374,14.58,Crystal 3
9360.0,8460.0,0.18482905982906,0.0,-439398496240602.0,124486681523.82,14.58,Crystal 3
10080.0,8460.0,0.319444444444445,0.0,-439398496240602.0,110405743729.065,14.58,Crystal 3
10800.0,8460.0,0.537037037037037,0.0,-439398496240602.0,88707321125.7391,14.58,Crystal 3
11520.0,8560.0,0.868055555555556,0.0,-439398496240602.0,60335910011.4705,14.58,Crystal 3
12240.0,8560.0,1.18464052287582,0.0,-439398496240602.0,33842845687.8752,14.58,Crystal 3
12960.0,8600.0,1.28858024691358,0.0,-439398496240602.0,-30204535880.8321,14.58,Crystal 3
13680.0,8600.0,1.41812865497076,0.0,-439398496240602.0,-37322001553.0294,14.58,Crystal 3
14400.0,8600.0,1.39583333333333,0.0,-439398496240602.0,-47143524938.1944,14.58,Crystal 3
15120.0,8600.0,1.26322751322751,0.0,-439398496240602.0,-59778078741.80970,14.58,Crystal 3
15840.0,8600.0,1.19949494949495,0.0,-439398496240602.0,-77013939763.6796,14.58,Crystal 3
16560.0,8600.0,1.08695652173913,0.0,-439398496240602.0,-99702867055.3502,14.58,Crystal 3
18000.0,8600.0,1.7,0.0,-439398496240602.0,-206945087388.686,14.58,Crystal 3
18720.0,8600.0,0.721153846153846,0.0,-439398496240602.0,-294173697014.705,14.58,Crystal 3
20880.0,8600.0,1.63793103448276,0.0,-439398496240602.0,-431577742010.618,14.58,Crystal 3
21600.0,8600.0,0.467592592592593,0.0,-439398496240602.0,-461813425281.677,14.58,Crystal 3
23040.0,8600.0,0.868055555555556,0.0,-439398496240602.0,-536046126954.516,14.58,Crystal 3
23760.0,8600.0,0.462962962962963,0.0,-439398496240602.0,-587916912680.873,14.58,Crystal 3
24624.0,8840.0,0.592917478882391,0.0,-439398496240602.0,-674363497789.087,14.58,Crystal 3
25344.0,9080.0,0.568181818181818,0.0,-439398496240602.0,-788425310286.29,14.58,Crystal 3
26784.0,9320.0,1.68010752688172,0.0,-439398496240602.0,-1659768858745.9,14.58,Crystal 3
0.0,8600.0,0.0,104135338345865.0,174129699248120.0,563293365623.65,11.27,Crystal 4
360.0,8600.0,0.491666666666667,104135338345865.0,174129699248120.0,561805859933.538,11.27,Crystal 4
720.0,8600.0,0.175,104135338345865.0,174129699248120.0,560748907394.107,11.27,Crystal 4
1080.0,8600.0,0.176851851851852,104135338345865.0,174129699248120.0,559149789022.818,11.27,Crystal 4
1440.0,8600.0,0.197222222222222,104135338345865.0,174129699248120.0,556778908333.277,11.27,Crystal 4
2880.0,8580.0,0.084375,104135338345865.0,174129699248120.0,554756805940.518,11.27,Crystal 4
3600.0,8560.0,0.1675,104135338345865.0,174129699248120.0,549764810796.238,11.27,Crystal 4
4320.0,8540.0,0.172916666666667,104135338345865.0,174129699248120.0,543631473423.883,11.27,Crystal 4
5040.0,8520.0,0.224007936507937,104135338345865.0,174129699248120.0,534467491509.269,11.27,Crystal 4
5760.0,8500.0,0.313020833333333,104135338345865.0,174129699248120.0,520093777688.59,11.27,Crystal 4
6480.0,8480.0,0.462808641975309,104135338345865.0,174129699248120.0,496883370517.6,11.27,Crystal 4
7200.0,8460.0,0.640972222222222,104135338345865.0,174129699248120.0,462818752859.67,11.27,Crystal 4
7920.0,8600.0,1.17424242424242,104135338345865.0,174129699248120.0,399936517867.681,11.27,Crystal 4
8640.0,8600.0,1.23842592592593,104135338345865.0,174129699248120.0,336378881434.963,11.27,Crystal 4
9360.0,8600.0,1.5491452991453,104135338345865.0,174129699248120.0,263605397398.635,11.27,Crystal 4
10080.0,8600.0,1.63690476190476,104135338345865.0,174129699248120.0,251552959428.616,11.27,Crystal 4
10800.0,8600.0,1.71296296296296,104135338345865.0,174129699248120.0,191510207299.305,11.27,Crystal 4
11520.0,8600.0,1.51909722222222,104135338345865.0,174129699248120.0,145432100364.994,11.27,Crystal 4
12240.0,8600.0,1.59313725490196,104135338345865.0,174129699248120.0,104619217304.698,11.27,Crystal 4
12960.0,8600.0,1.50462962962963,104135338345865.0,174129699248120.0,73194074908.6882,11.27,Crystal 4
13680.0,8600.0,1.42543859649123,104135338345865.0,174129699248120.0,49547421707.7176,11.27,Crystal 4
14400.0,8600.0,1.28472222222222,104135338345865.0,174129699248120.0,-317794901874.481,11.27,Crystal 4
15120.0,8600.0,1.21031746031746,104135338345865.0,174129699248120.0,-694285883431.877,11.27,Crystal 4
16560.0,8600.0,2.18599033816425,104135338345865.0,174129699248120.0,-1587504646627.34,11.27,Crystal 4
17280.0,8600.0,1.05902777777778,104135338345865.0,174129699248120.0,-1813913713258.85,11.27,Crystal 4
17438.4,8840.0,0.240847784200385,104135338345865.0,174129699248120.0,-1876108131715.65,11.27,Crystal 4
18432.0,9116.0,1.71440972222222,104135338345865.0,174129699248120.0,-2550074581837.82,11.27,Crystal 4
19152.0,9316.0,1.90058479532164,104135338345865.0,174129699248120.0,-4559937316273.45,11.27,Crystal 4
19440.0,9396.0,1.4917695473251,104135338345865.0,174129699248120.0,-25481312816759.2,11.27,Crystal 4
0.0,8620.0,0.0,0.0,1380390000000000.0,611756937906.912,21.83,Crystal 5
270.0,8620.0,0.411111111111111,0.0,1380390000000000.0,610702798649.281,21.83,Crystal 5
540.0,8620.0,0.153703703703704,0.0,1380390000000000.0,609915535093.054,21.83,Crystal 5
810.0,8620.0,0.0753086419753087,0.0,1380390000000000.0,609337470723.369,21.83,Crystal 5
1170.0,8620.0,0.088034188034188,0.0,1380390000000000.0,608362407292.626,21.83,Crystal 5
1530.0,8620.0,0.069281045751634,0.0,1380390000000000.0,607360270655.022,21.83,Crystal 5
2880.0,8600.0,0.0381944444444444,0.0,1380390000000000.0,606321738937.588,21.83,Crystal 5
3600.0,8580.0,0.0561111111111111,0.0,1380390000000000.0,604418382216.903,21.83,Crystal 5
4320.0,8560.0,0.0689814814814815,0.0,1380390000000000.0,601619343756.792,21.83,Crystal 5
5040.0,8540.0,0.100992063492064,0.0,1380390000000000.0,596862846243.71,21.83,Crystal 5
5760.0,8520.0,0.116666666666667,0.0,1380390000000000.0,590630084169.649,21.83,Crystal 5
6480.0,8500.0,0.149691358024691,0.0,1380390000000000.0,581726924333.862,21.83,Crystal 5
7200.0,8480.0,0.226527777777778,0.0,1380390000000000.0,567003236301.654,21.83,Crystal 5
7920.0,8460.0,0.352272727272727,0.0,1380390000000000.0,542520820660.382,21.83,Crystal 5
8640.0,8460.0,0.620833333333333,0.0,1380390000000000.0,497868260194.266,21.83,Crystal 5
9360.0,8600.0,0.94284188034188,0.0,1380390000000000.0,430941191832.052,21.83,Crystal 5
10080.0,8620.0,1.46835317460317,0.0,1380390000000000.0,335223863582.053,21.83,Crystal 5
10800.0,8640.0,1.56777777777778,0.0,1380390000000000.0,349389301224.633,21.83,Crystal 5
11520.0,8640.0,1.90885416666667,0.0,1380390000000000.0,338645168464.58,21.83,Crystal 5
12240.0,8640.0,1.87949346405229,0.0,1380390000000000.0,326828823524.155,21.83,Crystal 5
12960.0,8640.0,1.63233024691358,0.0,1380390000000000.0,315366580424.015,21.83,Crystal 5
13680.0,8640.0,1.46235380116959,0.0,1380390000000000.0,303920503870.512,21.83,Crystal 5
14400.0,8640.0,1.60416666666667,0.0,1380390000000000.0,79927484385.8635,21.83,Crystal 5
15120.0,8640.0,1.36904761904762,0.0,1380390000000000.0,29989296851.0355,21.83,Crystal 5
15840.0,8640.0,1.09217171717172,0.0,1380390000000000.0,11949910645.6119,21.83,Crystal 5
